17.241379,7.02
17.227122,7.24
17.212889,7.45
17.198679,7.65
17.184493,7.82
17.170035,7.95
17.155896,8.04
17.141780,8.08
17.127687,8.04
17.113324,7.90
17.099278,7.66
17.085255,7.34
17.071255,7.00
17.057278,6.70
17.043034,6.52
17.029103,6.48
17.015195,6.61
17.001309,6.87
16.987446,7.21
16.973318,7.56
16.959501,7.87
16.945706,8.08
16.931934,8.16
16.918184,8.08
16.904170,7.84
16.890465,7.48
16.876783,7.02
16.863122,6.53
16.849200,6.07
16.835584,5.70
16.821990,5.46
16.808418,5.39
16.794867,5.48
16.781058,5.69
16.767551,5.99
16.754067,6.32
16.740604,6.64
16.727163,6.92
16.713464,7.15
16.700067,7.34
16.686691,7.48
16.673336,7.58
16.659725,7.63
16.646414,7.63
16.633123,7.58
16.619854,7.50
16.606606,7.41
16.593104,7.32
16.579899,7.26
16.566714,7.20
16.553551,7.15
16.540408,7.09
16.527013,7.02
16.513913,6.93
16.500833,6.85
16.487774,6.79
16.474736,6.77
16.461447,6.80
16.448451,6.87
16.435474,6.96
16.422519,7.04
16.409314,7.10
16.396399,7.13
16.383505,7.11
16.370631,7.05
16.357777,6.96
16.344677,6.84
16.331863,6.70
16.319070,6.58
16.306297,6.49
16.293544,6.47
16.280546,6.54
16.267834,6.70
16.255141,6.94
16.242468,7.22
16.229551,7.49
16.216917,7.70
16.204304,7.82
16.191710,7.86
16.179135,7.83
16.166319,7.76
16.153784,7.71
16.141268,7.67
16.128772,7.66
16.116295,7.66
16.103578,7.66
16.091140,7.62
16.078721,7.56
16.066322,7.47
16.053684,7.35
16.041322,7.24
16.028980,7.14
16.016657,7.07
16.004353,7.03
15.991812,7.03
15.979546,7.07
15.967299,7.13
15.955071,7.21
15.942861,7.30
15.930416,7.37
15.918244,7.42
15.906090,7.43
15.893956,7.39
15.881839,7.31
15.869489,7.20
15.857410,7.08
15.845349,6.97
15.833307,6.88
15.821032,6.83
15.809027,6.84
15.797040,6.91
15.785070,7.02
15.773119,7.15
15.760938,7.29
15.749024,7.41
15.737127,7.50
15.725248,7.56
15.713388,7.58
15.701298,7.58
15.689474,7.57
15.677667,7.56
15.665878,7.53
15.653862,7.50
15.642109,7.46
15.630373,7.39
15.618655,7.31
15.606954,7.23
15.595028,7.17
15.583363,7.14
15.571716,7.16
15.560085,7.26
15.548472,7.41
15.536635,7.61
15.525057,7.83
15.513497,8.05
15.501953,8.23
15.490427,8.35
15.478678,8.40
15.467186,8.39
15.455712,8.32
15.444254,8.23
15.432575,8.13
15.421152,8.06
15.409745,8.02
15.398355,8.02
15.386983,8.04
15.375390,8.08
15.364051,8.14
15.352729,8.19
15.341423,8.26
15.330134,8.34
15.318627,8.42
15.307372,8.51
15.296133,8.60
15.284911,8.68
15.273472,8.73
15.262282,8.75
15.251110,8.76
15.239953,8.76
15.228813,8.77
15.217457,8.79
15.206350,8.81
15.195259,8.84
15.184184,8.85
15.173125,8.83
15.161853,8.79
15.150826,8.73
15.139816,8.66
15.128822,8.58
15.117615,8.51
15.106653,8.44
15.095707,8.36
15.084776,8.28
15.073862,8.19
15.062736,8.10
15.051854,8.04
15.040987,8.01
15.030135,8.04
15.019300,8.13
15.008255,8.32
14.997450,8.62
14.986662,9.01
14.975889,9.45
14.965131,9.79
14.954165,9.90
14.943439,9.79
14.932728,9.54
14.922032,9.26
14.911130,9.00
14.900465,8.80
14.889815,8.65
14.879181,8.55
14.868562,8.51
14.857737,8.51
14.847149,8.53
14.836575,8.57
14.826017,8.60
14.815473,8.63
14.804726,8.66
14.794213,8.68
14.783714,8.71
14.773231,8.74
14.762544,8.76
14.752091,8.77
14.741653,8.75
14.731229,8.70
14.720820,8.62
14.710209,8.52
14.699829,8.43
14.689465,8.35
14.679115,8.31
14.668779,8.30
14.658243,8.31
14.647937,8.32
14.637645,8.32
14.627368,8.30
14.617105,8.27
14.606643,8.23
14.596409,8.20
14.586190,8.19
14.575985,8.21
14.565582,8.25
14.555405,8.32
14.545243,8.38
14.535095,8.44
14.524961,8.47
14.514631,8.48
14.504525,8.47
14.494434,8.44
14.484357,8.40
